DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSoudzi  (yrs 2000-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 2000-2010)
 
DIFFERENCE:            (IHistClm50BgcSoudzi) - (IHistClm50Bgc)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -0.015
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.032
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux   0.010
GPP(PgC/y) gross primary production                                       -0.580
CUE(NPP/GPP) carbon use efficiency                                        -0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.306
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.274
NPP(PgC/y) net primary production                                         -0.363
AGNPP(PgC/y) above ground net primary production                          -0.130
BGNPP(PgC/y) below ground net primary production                          -0.208
MR(PgC/y) maintenance respiration                                         -0.281
GR(PgC/y) total growth respiration                                        -0.040
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.217
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.331
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.113
SR(PgC/y) total soil respiration (HR + root resp)                         -0.444
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.548
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.003
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.002
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.005
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -1.733
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.044
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.007
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.001
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.012
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.001
LEAFC(PgC) leaf carbon                                                    -0.076
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.030
SOIL3C(PgC) Soil organic matter C (slow pool)                             -0.149
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.118
LIVESTEMC(PgC) live stem C                                                 0.002
DEADSTEMC(PgC) dead stem carbon                                            0.954
LIVECROOTC(PgC) live coarse root carbon                                    0.000
DEADCROOTC(PgC) dead coarse root carbon                                    0.278
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                           0.874
CWDC(PgC) coarse woody debris carbon                                       0.291
TOTLITC(PgC) total litter carbon                                          -0.601
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.602
TOTSOMC(PgC) total SOM carbon                                             -0.649
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -3.841
TOTLITN(TgN) total litter N                                              -14.100
TOTLITN_1m(TgN) total litter N to 1m depth                               -14.102
TOTSOMN(TgN) total soil organic matter N                                 -61.250
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -351.211
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                -0.088
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                        -0.059
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.003
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                  -999.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -20.720
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -7.718
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -19.108
NET_NMIN(TgN/y) Net N Mineralization                                     -11.397
NDEPLOY(TgN/y) Total N Deployed in New Growth                            -12.475
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.245
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                 -11.466
DENIT(TgN/y) Total Denitrification                                         1.837
SOIL3N(TgN) soil organic matter N (slow pool)                            -13.641
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                     1.921
NECM(TgN/y) ECM-associated N uptake flux                                  -3.209
NFIX(TgN/y) Symbiotic BNF uptake flux                                      1.862
NRETRANS(TgN/y) Retranslocated N uptake flux                              -1.009
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    0.104
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.001
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.062
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.022
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.695
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.002
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.023
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.067
SMINN(TgN) soil mineral N                                                -35.218
RETRANSN(TgN) plant pool of retranslocated N                              -0.191
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.046
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.031
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.824
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.533
FAREA_BURNED(proportion/y) fractional area burned                         -0.001
BAF_CROP(proportion/y) fractional area burned - crop                      -0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.017
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.211
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.210
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.143
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.141
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.165
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.332
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.166
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          1.235
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.017
WOODC_LOSS(PgC/y) Wood C Loss                                              0.016
