DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSulman_v2  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
DIFFERENCE:            (IHistClm50BgcSulman_v2) - (IHistClm50Bgc)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -0.011
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.005
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux   0.007
GPP(PgC/y) gross primary production                                       -0.402
CUE(NPP/GPP) carbon use efficiency                                        -0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.261
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.141
NPP(PgC/y) net primary production                                         -0.232
AGNPP(PgC/y) above ground net primary production                          -0.078
BGNPP(PgC/y) below ground net primary production                          -0.132
MR(PgC/y) maintenance respiration                                         -0.131
GR(PgC/y) total growth respiration                                        -0.026
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.170
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.227
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.030
SR(PgC/y) total soil respiration (HR + root resp)                         -0.257
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.397
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.001
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.002
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.003
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -1.000
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area      0.005
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.000
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area       0.003
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area       0.020
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.002
LEAFC(PgC) leaf carbon                                                    -0.016
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.014
SOIL3C(PgC) Soil organic matter C (slow pool)                              3.834
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.023
LIVESTEMC(PgC) live stem C                                                 0.002
DEADSTEMC(PgC) dead stem carbon                                            0.679
LIVECROOTC(PgC) live coarse root carbon                                    0.001
DEADCROOTC(PgC) dead coarse root carbon                                    0.232
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                           0.653
CWDC(PgC) coarse woody debris carbon                                       0.539
TOTLITC(PgC) total litter carbon                                          -0.020
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.021
TOTSOMC(PgC) total SOM carbon                                              5.148
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -1.248
TOTLITN(TgN) total litter N                                               -1.146
TOTLITN_1m(TgN) total litter N to 1m depth                                -1.170
TOTSOMN(TgN) total soil organic matter N                                 468.109
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -113.648
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                 6.319
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                         6.333
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                      -0.000
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                  -999.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                           -5.480
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -6.132
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -13.389
NET_NMIN(TgN/y) Net N Mineralization                                      -7.251
NDEPLOY(TgN/y) Total N Deployed in New Growth                             -6.271
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                        -0.024
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                  -6.140
DENIT(TgN/y) Total Denitrification                                        -1.143
SOIL3N(TgN) soil organic matter N (slow pool)                            348.484
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
