DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSteidinger  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
DIFFERENCE:            (IHistClm50BgcSteidinger) - (IHistClm50Bgc)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -0.000
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.075
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux  -0.003
GPP(PgC/y) gross primary production                                       -0.432
CUE(NPP/GPP) carbon use efficiency                                        -0.003
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.034
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.398
NPP(PgC/y) net primary production                                         -0.572
AGNPP(PgC/y) above ground net primary production                          -0.248
BGNPP(PgC/y) below ground net primary production                          -0.298
MR(PgC/y) maintenance respiration                                         -0.419
GR(PgC/y) total growth respiration                                        -0.063
AR(PgC/y) autotrophic respiration (MR + GR)                                0.140
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.497
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.164
SR(PgC/y) total soil respiration (HR + root resp)                         -0.661
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.357
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.001
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.000
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.002
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -4.764
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area      0.036
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.006
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.006
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.044
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area     -0.004
LEAFC(PgC) leaf carbon                                                    -0.114
XSMRPOOL(PgC) Temporary Photosynthate C Pool                              -0.007
SOIL3C(PgC) Soil organic matter C (slow pool)                            -96.983
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.180
LIVESTEMC(PgC) live stem C                                                -0.008
DEADSTEMC(PgC) dead stem carbon                                           -1.144
LIVECROOTC(PgC) live coarse root carbon                                   -0.003
DEADCROOTC(PgC) dead coarse root carbon                                   -0.422
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                          -2.209
CWDC(PgC) coarse woody debris carbon                                      -0.703
TOTLITC(PgC) total litter carbon                                          -0.847
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.695
TOTSOMC(PgC) total SOM carbon                                           -133.033
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -7.222
TOTLITN(TgN) total litter N                                              -22.249
TOTLITN_1m(TgN) total litter N to 1m depth                               -18.768
TOTSOMN(TgN) total soil organic matter N                              -12115.234
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -665.898
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool              -136.796
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                      -136.806
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.002
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                  -999.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -18.651
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                -14.332
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -28.360
NET_NMIN(TgN/y) Net N Mineralization                                     -14.023
NDEPLOY(TgN/y) Total N Deployed in New Growth                            -16.208
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.234
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                 -14.767
DENIT(TgN/y) Total Denitrification                                         1.245
SOIL3N(TgN) soil organic matter N (slow pool)                          -8816.438
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                    -1.054
NECM(TgN/y) ECM-associated N uptake flux                                   3.406
NFIX(TgN/y) Symbiotic BNF uptake flux                                      0.814
NRETRANS(TgN/y) Retranslocated N uptake flux                              -1.442
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    0.622
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.007
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.115
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.011
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.987
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.002
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.060
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.171
SMINN(TgN) soil mineral N                                               -564.198
RETRANSN(TgN) plant pool of retranslocated N                              -0.261
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.075
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.049
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -1.045
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.699
FAREA_BURNED(proportion/y) fractional area burned                         -0.002
BAF_CROP(proportion/y) fractional area burned - crop                       0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
